rmse,mae,r2,val_loss,"param_
    'filters_conv1': [16, 32, 48, 64, 80, 96, 112, 128],
    'kernel_size_conv1': [2, 3, 4, 5, 6, 8],
    'activation_conv1': ['sigmoid', 'tanh', 'relu'],
    'filters_conv2': [16, 32, 48, 64, 80, 96, 128, 256, 384, 512],
    'kernel_size_conv2': [2, 3, 4, 5, 6, 8, 10],
    'activation_conv2': ['sigmoid', 'tanh', 'relu'],
    'dense_neurons': [20, 40, 60, 80, 100, 200, 300, 400, 500],
    'learning_rate': [0.001],
    'batch_size': [32],
    'epochs': [3, 4, 5, 6, 9, 15]
filters_conv1",param_activation_conv1,param_activation_conv2,param_batch_size,param_dense_neurons,param_epochs,param_filters_conv2,param_kernel_size_conv1,param_kernel_size_conv2,param_learning_rate
17.814799315820867,13.164853576421738,0.8162182745802162,316.957763671875,16,sigmoid,sigmoid,32,50,4,384,6,5,0.001
16.834524920839883,12.707491239905357,0.8358873019072319,273.8955993652344,16,sigmoid,sigmoid,32,50,4,384,6,10,0.001
16.456024827649607,12.851151349544525,0.8431840174103358,259.47601318359375,16,sigmoid,sigmoid,32,50,4,512,2,2,0.001
16.86724508643429,12.380138881206513,0.8352487316900814,284.5039978027344,16,sigmoid,sigmoid,32,50,4,512,2,5,0.001
18.322733809798287,13.566030116677284,0.8055889256115659,317.9614562988281,16,sigmoid,sigmoid,32,50,4,512,2,10,0.001
17.14660454293876,13.188439643383026,0.8297462371496214,263.7720947265625,16,sigmoid,sigmoid,32,50,4,512,3,2,0.001
16.85487197457743,13.155379346609116,0.835490352439237,265.69952392578125,16,sigmoid,sigmoid,32,50,4,512,3,5,0.001
22.0145019786743,15.731557863354682,0.7193544333810411,304.5099792480469,16,sigmoid,sigmoid,32,50,4,512,3,10,0.001
17.652967493281817,13.63024647653103,0.8195421001569171,283.538818359375,16,sigmoid,sigmoid,32,50,4,512,6,2,0.001
17.52429539014013,13.250351772308349,0.8221632201291362,285.8193664550781,16,sigmoid,sigmoid,32,50,4,512,6,5,0.001
18.624690926007595,13.751373009234667,0.799128369571559,296.09429931640625,16,sigmoid,sigmoid,32,50,4,512,6,10,0.001
16.589731493849484,12.552184608578681,0.8406253772502443,274.2176208496094,16,sigmoid,sigmoid,32,80,4,16,2,2,0.001
17.573155752345308,13.281367338001727,0.8211701664699019,301.8355407714844,16,sigmoid,sigmoid,32,80,4,16,2,5,0.001
15.699154459511735,11.854952006340026,0.857277323809738,235.56837463378906,16,sigmoid,sigmoid,32,80,4,16,2,10,0.001
17.965811699972292,13.544646158218384,0.8130893090949882,310.3663330078125,16,sigmoid,sigmoid,32,80,4,16,3,2,0.001
17.293854517753815,12.65139187335968,0.8268095031140544,277.685302734375,16,sigmoid,sigmoid,32,80,4,16,3,5,0.001
17.000874963083092,13.201266107559205,0.8326279242448964,251.17031860351562,16,sigmoid,sigmoid,32,80,4,16,3,10,0.001
16.706569433332493,12.965693120956422,0.8383725892037478,272.9994201660156,16,sigmoid,sigmoid,32,80,4,16,6,2,0.001
18.191366645920933,13.969308710098266,0.8083666419014356,272.80902099609375,16,sigmoid,sigmoid,32,80,4,16,6,5,0.001
16.98442788918485,12.64974731206894,0.8329516075082217,261.5064392089844,16,sigmoid,sigmoid,32,80,4,16,6,10,0.001
15.875603959571766,12.118858013153076,0.8540510522154245,243.92849731445312,16,sigmoid,sigmoid,32,80,4,32,2,2,0.001
17.982216187171428,13.898765858709812,0.8127478189423392,305.8748779296875,16,sigmoid,sigmoid,32,80,4,32,2,5,0.001
17.70136747399138,13.754662479162215,0.8185512036060627,240.2783203125,16,sigmoid,sigmoid,32,80,4,32,2,10,0.001
16.465980681804446,12.497002722024918,0.842994213452158,261.2178649902344,16,sigmoid,sigmoid,32,80,4,32,3,2,0.001
